loss,grad_norm,learning_rate,epoch,global_step,timestamp,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.8438,0.647417426109314,4.418565017685517e-05,1.6533333333333333,1860,2025-12-12 11:06:28,1860,,,,,,,,,
0.8864,0.6549714803695679,4.3234021704376563e-05,1.6711111111111112,1880,2025-12-12 11:07:39,1880,,,,,,,,,
0.8943,0.6844608187675476,4.228488354760164e-05,1.6888888888888889,1900,2025-12-12 11:08:51,1900,,,,,,,,,
0.897,0.6996244788169861,4.1338585050491305e-05,1.7066666666666666,1920,2025-12-12 11:10:02,1920,,,,,,,,,
0.8866,0.6439895629882812,4.039547451182873e-05,1.7244444444444444,1940,2025-12-12 11:11:14,1940,,,,,,,,,
0.8906,0.6621896028518677,3.945589905702319e-05,1.7422222222222223,1960,2025-12-12 11:12:25,1960,,,,,,,,,
0.8877,0.6836366653442383,3.85202045103454e-05,1.76,1980,2025-12-12 11:13:37,1980,,,,,,,,,
0.8815,0.7143763899803162,3.758873526764203e-05,1.7777777777777777,2000,2025-12-12 11:14:48,2000,,,,,,,,,
,,,1.7777777777777777,2000,2025-12-12 11:17:05,2000,0.9833527207374573,137.0707,7.296,0.912,,,,,
0.8646,0.7030918598175049,3.666183416957575e-05,1.7955555555555556,2020,2025-12-12 11:18:21,2020,,,,,,,,,
0.8467,0.6922791600227356,3.573984237543786e-05,1.8133333333333335,2040,2025-12-12 11:19:32,2040,,,,,,,,,
0.8686,0.6783421039581299,3.482309923757969e-05,1.8311111111111111,2060,2025-12-12 11:20:44,2060,,,,,,,,,
0.8904,0.7063909769058228,3.3911942176509074e-05,1.8488888888888888,2080,2025-12-12 11:21:55,2080,,,,,,,,,
0.8746,0.6824972033500671,3.300670655669785e-05,1.8666666666666667,2100,2025-12-12 11:23:07,2100,,,,,,,,,
0.8654,0.6922608613967896,3.2107725563146215e-05,1.8844444444444446,2120,2025-12-12 11:24:18,2120,,,,,,,,,
0.882,0.7071087956428528,3.1215330078749095e-05,1.9022222222222223,2140,2025-12-12 11:25:30,2140,,,,,,,,,
0.8955,0.7181680202484131,3.032984856251001e-05,1.92,2160,2025-12-12 11:26:42,2160,,,,,,,,,
0.8913,0.742815375328064,2.9451606928646924e-05,1.9377777777777778,2180,2025-12-12 11:27:53,2180,,,,,,,,,
0.8663,0.6779263615608215,2.8580928426634947e-05,1.9555555555555557,2200,2025-12-12 11:29:05,2200,,,,,,,,,
0.8798,0.6667317152023315,2.7718133522229627e-05,1.9733333333333334,2220,2025-12-12 11:30:17,2220,,,,,,,,,
0.8864,0.7016469240188599,2.6863539779514902e-05,1.991111111111111,2240,2025-12-12 11:31:29,2240,,,,,,,,,
0.8177,0.665803849697113,2.6017461744019124e-05,2.008888888888889,2260,2025-12-12 11:32:40,2260,,,,,,,,,
0.7226,0.7761346101760864,2.5180210826941987e-05,2.026666666666667,2280,2025-12-12 11:33:52,2280,,,,,,,,,
0.7443,0.7756714820861816,2.4352095190535264e-05,2.0444444444444443,2300,2025-12-12 11:35:04,2300,,,,,,,,,
0.7467,0.7571335434913635,2.35334196346791e-05,2.062222222222222,2320,2025-12-12 11:36:15,2320,,,,,,,,,
0.731,0.7808593511581421,2.272448548469619e-05,2.08,2340,2025-12-12 11:37:27,2340,,,,,,,,,
0.7237,0.779256284236908,2.1925590480444492e-05,2.097777777777778,2360,2025-12-12 11:38:38,2360,,,,,,,,,
0.7366,0.762873649597168,2.1137028666729968e-05,2.1155555555555554,2380,2025-12-12 11:39:50,2380,,,,,,,,,
